"publish_date","day","publish_time_wib","category","feature","implementation_status","content_goal","hook","thread_outline","design_recommendation","assets_needed","cta","evidence"
"2026-08-11","Selasa","19:30","Budgeting","Kategori custom dengan ikon, warna, dan budget","Implemented","Customization","Budget lebih mudah dibaca saat setiap kategori punya identitas visual dan batas yang jelas.","Tweet 1: Hook budget yang terlalu abstrak; Tweet 2: buat atau edit kategori; Tweet 3: pilih nama, ikon, warna; Tweet 4: atur budget harian, mingguan, bulanan; Tweet 5: kategori yang dihapus tidak menghilangkan transaksi lama; Tweet 6: contoh struktur kategori.","Carousel 5 panel dengan palette kategori sebagai elemen utama. Tampilkan perubahan kategori polos menjadi sistem warna yang konsisten.","Screenshot category detail; icon picker; budget fields","Share susunan kategori paling simpel yang berhasil buat kamu.","src/app/(cashflow)/forms/categories/index.tsx | src/app/(cashflow)/forms/categories/detail.tsx"
"2026-08-12","Rabu","19:30","Budgeting","Overall budget dan budget per kategori","Implemented","Financial education","Satu budget menjawab apakah total spending aman. Budget kategori menjawab kebocorannya ada di mana.","Tweet 1: Bedakan overall dan category budget; Tweet 2: contoh batas bulanan; Tweet 3: batas harian dan mingguan; Tweet 4: kategori sebagai guardrail; Tweet 5: cara memulai tanpa overbudgeting; Tweet 6: template 3 level.","Infografik piramida: Overall di atas, kategori di tengah, transaksi di bawah. Sertakan satu contoh angka dummy yang konsisten.","Screenshot overall budget; screenshot category budget; diagram piramida","Mulai sederhana: tetapkan satu overall budget dan tiga kategori utama.","src/app/(cashflow)/forms/categories/index.tsx | src/app/(cashflow)/forms/categories/detail.tsx | src/lib/api/budgets.ts"
"2026-08-13","Kamis","19:30","Notifications","Pengingat catat, alert budget, dan review bulanan","Implemented; notification permission required","Retention","Tracking gagal bukan karena lupa total, tapi karena lupa pada waktu yang sama setiap hari.","Tweet 1: Hook sistem pengingat; Tweet 2: reminder jika belum ada entry; Tweet 3: pilih jam; Tweet 4: budget threshold; Tweet 5: monthly review tanggal 1; Tweet 6: notifikasi tetap bisa diatur dari device.","Carousel menggunakan tiga kartu notifikasi native pada lock screen mockup. Bedakan warna reminder, budget alert, dan monthly review.","Screenshot reminder settings; tiga notification mockups","Jam berapa reminder mencatat keuangan paling realistis buat kamu?","src/app/(cashflow)/forms/reminder.tsx | src/lib/localReminders.ts | src/i18n/locales/id.ts"
"2026-08-14","Jumat","19:30","Automation","Income dan expense berulang","Implemented","Feature adoption","Gaji, langganan, dan cicilan punya pola. Pencatatannya seharusnya ikut punya pola.","Tweet 1: Hook transaksi berulang; Tweet 2: buat rule income atau expense; Tweet 3: pilih nominal dan kategori; Tweet 4: frekuensi daily, weekly, monthly; Tweet 5: lihat next run; Tweet 6: rule bisa dihentikan.","Motion graphic timeline pendek. Tampilkan satu kartu Netflix bergerak ke tanggal jatuh tempo berikutnya, lalu berubah menjadi entry.","Screenshot automatic entry; animasi timeline; transaksi dummy","Transaksi berulang pertama yang akan kamu otomatisasi apa?","src/app/(cashflow)/forms/automatic-entry.tsx | src/data/cashflow/CashflowDataProvider.tsx | src/lib/api/recurring.ts"
"2026-08-15","Sabtu","10:00","Wallet Management","Banyak wallet dengan data scope terpisah","Implemented","Use-case expansion","Uang pribadi, rumah tangga, dan proyek sampingan tidak harus bercampur dalam satu buku.","Tweet 1: Hook pemisahan konteks; Tweet 2: setiap wallet punya entries; Tweet 3: kategori dan budget mengikuti wallet aktif; Tweet 4: Quick Fill dan Summary juga mengikuti; Tweet 5: pindah wallet; Tweet 6: tiga contoh setup.","Carousel tiga wallet berbentuk tab fisik: Personal, Household, Side Project. Panel berikutnya menunjukkan data berubah saat wallet aktif diganti.","Screenshot wallet selector; tiga wallet demo; screenshot summary per wallet","Kalau punya tiga wallet di Ethos, kamu akan menamainya apa?","src/app/(cashflow)/forms/wallet/index.tsx | src/i18n/locales/id.ts | src/data/cashflow/CashflowDataProvider.tsx"
"2026-08-16","Minggu","10:00","Collaboration","Wallet bersama lewat link undangan","Implemented; sign-in and synced wallet required","Acquisition through sharing","Budget rumah tangga lebih transparan saat semua anggota melihat wallet yang sama, bukan kirim screenshot satu per satu.","Tweet 1: Hook masalah uang bersama; Tweet 2: buat wallet; Tweet 3: sync ke account; Tweet 4: buat invite link; Tweet 5: anggota bergabung dan terlihat di wallet; Tweet 6: use case pasangan, keluarga, tim kecil.","Storyboard 5 frame: buat wallet, tap Invite, kirim link, anggota join, summary bersama. Gunakan avatar dummy dan hindari klaim permission yang tidak terlihat.","Screenshot wallet detail; share sheet invite; member list dummy","Tag orang yang paling sering kamu ajak rekonsiliasi pengeluaran.","src/app/(cashflow)/forms/wallet/index.tsx | src/app/(cashflow)/forms/wallet/detail.tsx | src/lib/api/managements.ts"
"2026-08-17","Senin","19:30","Wallet Management","Transfer antar-wallet","Implemented; requires at least two wallets","Feature education","Memindahkan uang antar rekening bukan income atau expense baru. Itu transfer.","Tweet 1: Hook kesalahan double counting; Tweet 2: pilih wallet sumber; Tweet 3: pilih tujuan; Tweet 4: cek saldo tersedia; Tweet 5: tukar arah transfer; Tweet 6: transfer tersimpan tanpa mengacaukan total.","Diagram aliran uang kiri ke kanan dengan dua wallet. Lanjutkan dengan video 10 detik form transfer dan validasi saldo.","Screenshot transfer form; diagram dua wallet; contoh nominal dummy","Pernah membuat balance salah karena transfer dicatat sebagai expense?","src/app/(cashflow)/forms/transfer.tsx | src/data/cashflow/CashflowDataProvider.tsx"
"2026-08-18","Selasa","19:30","Financial Hygiene","Audit saldo tercatat versus saldo sebenarnya","Implemented","Trust and education","Aplikasi bilang saldo sekian, rekening bilang beda. Jangan ditebak, audit selisihnya.","Tweet 1: Hook saldo tidak cocok; Tweet 2: lihat recorded balance; Tweet 3: masukkan actual balance; Tweet 4: Ethos menghitung selisih; Tweet 5: simpan catatan atau sesuaikan; Tweet 6: lihat audit terakhir.","Carousel gaya checklist audit. Gunakan dua angka besar yang dibandingkan, lalu animasikan delta menjadi adjustment. Semua nominal harus dummy.","Screenshot audit form; screenshot mismatch state; screenshot adjusted state","Kapan terakhir kamu mencocokkan saldo aplikasi dengan saldo sebenarnya?","src/app/(cashflow)/forms/audit.tsx | src/lib/api/audit.ts | src/i18n/locales/id.ts"
"2026-08-19","Rabu","19:30","Privacy & Display","Sembunyikan nominal, ganti periode saldo, dan format ringkas","Implemented","Trust and personalization","Kadang kamu ingin menunjukkan dashboard tanpa menunjukkan nominalnya.","Tweet 1: Hook privasi saat layar terlihat orang; Tweet 2: hide/show balance; Tweet 3: pilih periode statistik; Tweet 4: nominal compact; Tweet 5: preferensi ikut dipakai widget; Tweet 6: use case presentasi dan ruang publik.","Video micro-interaction 8-12 detik dari nominal terlihat menjadi tersembunyi. Panel statis kedua membandingkan Rp1.250.000 dan Rp1,25 jt.","Recording stats privacy toggle; screenshot compact amounts","Kamu tim selalu tampilkan saldo atau default disembunyikan?","src/components/cashflow/CashflowStatsCard.tsx | src/components/CurrencyProvider.tsx | src/components/CashflowStatsWidgetSync.tsx"
"2026-08-20","Kamis","19:30","Offline & Sync","Local-first cashflow dengan Cloud Sync opsional","Implemented for cashflow entities; sign-in required for cloud sync","Trust","Internet putus seharusnya tidak menghentikan kamu mencatat transaksi.","Tweet 1: Hook offline moment; Tweet 2: data cashflow disimpan lokal di SQLite; Tweet 3: perubahan diberi status sync; Tweet 4: saat online data didorong dan ditarik; Tweet 5: sync bisa dimatikan atau dipicu manual; Tweet 6: jelaskan cakupan tanpa jargon berlebih.","Diagram arsitektur ramah pengguna: Phone Database, Cloud, Other Device. Panah putus saat offline lalu menyambung kembali; jangan tampilkan detail teknis berlebihan.","Diagram sync; screenshot Cloud Sync settings; indikator sync","Fitur offline penting buatmu karena sinyal, privasi, atau kecepatan?","src/lib/sync/syncEngine.ts | src/components/SyncProvider.tsx | src/components/profile/ProfileContentBody.tsx"
"2026-08-21","Jumat","19:30","Platform","Widget Cashflow di Home Screen","Implemented on iOS systemMedium","Awareness","Buka saldo, income, dan expense tanpa membuka aplikasi.","Tweet 1: Hook glanceable finance; Tweet 2: widget mengikuti wallet aktif; Tweet 3: tampilkan balance, income, expense; Tweet 4: mengikuti periode dan tema; Tweet 5: menghormati setting nominal tersembunyi; Tweet 6: quick entry dari widget.","Hero mockup iPhone Home Screen dengan widget medium. Buat tiga varian light, dark, amount hidden dalam satu carousel.","Screenshot widget asli; iPhone frame; light and dark variants","Widget apa yang paling sering kamu taruh di Home Screen?","app.json | src/components/CashflowStatsWidgetSync.tsx | src/widgets/publishCashflowStatsWidget.ts"
"2026-08-22","Sabtu","10:00","Personal Growth","Daily Rhythm: Journal, Habit, dan Schedule dalam satu overview","Implemented","Cross-sell Growth features","Produktivitas harian lebih mudah dibaca saat refleksi, kebiasaan, dan agenda muncul dalam satu ritme.","Tweet 1: Hook bukan dashboard penuh kartu; Tweet 2: status Journal hari ini; Tweet 3: progress Habit; Tweet 4: next Schedule block; Tweet 5: aksi complete langsung; Tweet 6: ringkasan tujuh hari.","Carousel vertikal mengikuti urutan layar. Gunakan garis ritme yang menghubungkan Journal, Habit, Schedule, lalu mini-summary 7 hari.","Screenshot Growth Home; close-up three sections; 7-day summary","Bagian mana yang paling sering hilang dari harimu: plan, action, atau reflection?","src/app/(self-improvement)/(tabs)/overview/index.tsx | src/components/selfImprovement/PersonalGrowthHomeContent.tsx"
"2026-08-23","Minggu","10:00","Habits","Habit berulang dengan check-in harian","Implemented","Feature adoption","Habit tracker yang baik tidak meminta kamu mengubah hidup sekaligus. Ia membantu menjaga satu check-in kecil.","Tweet 1: Hook mulai kecil; Tweet 2: buat nama dan warna; Tweet 3: pilih hari berulang; Tweet 4: habit muncul hanya saat terjadwal; Tweet 5: tap untuk complete; Tweet 6: edit atau hapus dengan aman.","Screen recording 12 detik: buat habit Baca 10 halaman, pilih hari, lalu check-in. Gunakan satu warna aksen yang sama sepanjang video.","Recording add habit; screenshot daily list; completed state","Satu habit kecil apa yang realistis kamu check-in besok?","src/app/(self-improvement)/forms/habit-add.tsx | src/app/(self-improvement)/(tabs)/habits/index.tsx | src/features/selfImprovement/HabitList.tsx"
"2026-08-24","Senin","19:30","Habits","Streak, active days, check-ins, dan habit heatmap","Implemented","Motivation","Streak memberi satu angka. Heatmap memberi cerita tentang pola konsistensimu.","Tweet 1: Hook angka versus pola; Tweet 2: day streak; Tweet 3: active days; Tweet 4: total check-ins; Tweet 5: heatmap intensitas; Tweet 6: cara membaca konsistensi tanpa mengejar kesempurnaan.","Data-story carousel. Panel pertama tiga angka besar; panel kedua heatmap full bleed; panel ketiga anotasi pola weekday versus weekend.","Screenshot Habit summary; screenshot HabitHeatmap; anotasi pola dummy","Kamu lebih termotivasi oleh streak atau melihat heatmap terisi?","src/features/selfImprovement/HabitList.tsx | src/components/selfImprovement/HabitHeatmap.tsx"
"2026-08-25","Selasa","19:30","Habits + Planning","Hubungkan Habit ke blok Schedule","Implemented","Differentiation","Habit menjawab apa yang ingin konsisten. Schedule menjawab kapan itu benar-benar dikerjakan.","Tweet 1: Hook niat butuh waktu; Tweet 2: pilih habit hari ini; Tweet 3: tap Jadwalkan; Tweet 4: Ethos mencari slot 07.00-22.00 atau minta pilih manual; Tweet 5: blok terhubung ke habit; Tweet 6: menyelesaikan blok juga menyelesaikan habit.","Carousel diagram sebab-akibat: Habit card menuju Time block menuju checkmark. Sertakan video singkat auto-plan dan linked completion.","Recording plan habit; screenshot linked block; completed habit","Habit apa yang sudah jelas tujuannya tapi belum punya waktu khusus?","src/features/selfImprovement/useHabitPlanning.ts | src/app/(self-improvement)/(tabs)/schedule/index.tsx | src/i18n/locales/id.ts"
"2026-08-26","Rabu","19:30","Planning","Time Map 24 jam yang interaktif","Implemented","Awareness","Kalender menunjukkan daftar agenda. Time Map menunjukkan bentuk harimu selama 24 jam.","Tweet 1: Hook melihat waktu sebagai ruang; Tweet 2: setiap blok punya rentang dan warna; Tweet 3: total fokus terlihat di tengah; Tweet 4: drag untuk mengubah waktu; Tweet 5: tap area kosong untuk membuat blok; Tweet 6: overlap dicegah.","Video hero 15 detik dari dial 24 jam. Gunakan zoom halus saat drag rentang dan tampilkan validasi overlap sebagai ending.","Recording TimeMapDial; screenshot before-after schedule","Kalau harimu digambar sebagai lingkaran, bagian mana yang paling penuh?","src/app/(self-improvement)/(tabs)/schedule/index.tsx | src/components/selfImprovement/TimeMapDial.tsx"
"2026-08-27","Kamis","19:30","Focus","Break otomatis di dalam time block dan notifikasi sesi","Implemented; notification permission required","Feature depth","Blok dua jam tidak harus berarti fokus dua jam tanpa jeda.","Tweet 1: Hook fokus realistis; Tweet 2: buat time block; Tweet 3: tambahkan satu atau beberapa break; Tweet 4: Ethos membagi jeda dalam rentang; Tweet 5: durasi fokus dihitung terpisah; Tweet 6: notifikasi start, break, resume, dan end.","Timeline horizontal 120 menit dengan segmen focus-break-focus. Panel selanjutnya berupa notification stack empat tahap.","Screenshot break editor; diagram timeline; notification mockups","Pola fokusmu lebih cocok 25/5, 50/10, atau custom?","src/app/(self-improvement)/forms/schedule-block.tsx | src/lib/timeBox.ts | src/lib/timeBoxNotifications.ts"
"2026-08-28","Jumat","19:30","Planning Automation","Preset harian reusable dan berulang","Implemented","Retention","Kalau struktur Seninmu hampir selalu sama, jangan susun ulang blok dari nol setiap minggu.","Tweet 1: Hook hari yang berulang; Tweet 2: pilih blok dari satu hari; Tweet 3: simpan sebagai preset; Tweet 4: terapkan manual ke tanggal lain; Tweet 5: aktifkan repeat harian atau hari tertentu; Tweet 6: conflict dan overlap tetap dicek.","Carousel template day. Tampilkan Monday stack, tombol Save Preset, lalu kalender dengan hari berulang disorot. Warna blok harus konsisten.","Recording day preset; screenshot repeat weekdays; conflict state","Hari apa yang paling cocok kamu jadikan preset pertama?","src/app/(self-improvement)/forms/day-preset.tsx | src/data/selfImprovement/recurrence.ts"
"2026-08-29","Sabtu","10:00","Journal","Journal private dan kolaboratif dengan pin, invite, offline cache, dan conflict handling","Implemented; sign-in required; editing currently iOS, Android read-only","Trust and collaboration","Journal tidak selalu harus sendiri. Ada catatan yang personal, ada juga yang perlu dibangun bersama.","Tweet 1: Hook private versus shared; Tweet 2: buat journal entry; Tweet 3: pin entry penting ke sidebar; Tweet 4: undang kolaborator lewat link; Tweet 5: draft dan cache membantu saat koneksi bermasalah; Tweet 6: konflik versi bisa reload server atau pertahankan draft lokal; Tweet 7: jelaskan batas editor Android.","Carousel editorial seperti notebook. Gunakan label Private dan Shared, avatar kolaborator, indikator saved/local/conflict. Sertakan disclosure kecil iOS editing, Android read-only.","Screenshot Journal list; pinned sidebar; invite flow; save status states","Kamu akan memakai shared journal untuk proyek, pasangan, atau tim?","src/app/(self-improvement)/(tabs)/journal/index.tsx | src/features/journal/detail/useJournalDetailPersistence.ts | src/i18n/locales/id.ts"
"2026-08-30","Minggu","10:00","Personalization & Platform","Tema, dark mode, font, mata uang, bahasa, quick action, dan widget Time Map","Implemented; Time Map widget on iOS systemLarge","Campaign recap","App personal seharusnya ikut cara kamu melihat, membaca, dan bekerja, bukan memaksa satu tampilan untuk semua.","Tweet 1: Recap 30 hari fitur Ethos; Tweet 2: dark mode dan theme; Tweet 3: ukuran serta spacing font; Tweet 4: pilihan currency dan format nominal; Tweet 5: Bahasa Indonesia dan English; Tweet 6: quick action Entry Baru; Tweet 7: widget Time Map; Tweet 8: minta vote topik bulan berikutnya.","Recap carousel 7 panel dengan satu personalization per panel. Panel terakhir berupa poster Month 1 Complete dan grid thumbnail konten sebelumnya.","Screenshot Profile settings; font settings; quick action; Time Map widget; montage 29 posts","Dari seri 30 hari ini, fitur mana yang harus dibahas lebih dalam bulan depan?","src/components/profile/ProfileContentBody.tsx | src/app/(cashflow)/(tabs)/profile/font-settings.tsx | app.json | src/components/TimeMapWidgetSync.tsx"
